     0.0090 |
     0.0070 |
     0.0140 |
     0.0330 |
     0.0810 |
     0.2370 |
     0.7890 |
     2.6600 |
     7.6440 |
    22.3700 |
    47.8180 |
   176.9330 |
   731.8590 |
  2723.0850 |
 10583.2920 |


|       8 |     0.0000 |     0.0000 |
|      16 |     0.0000 |     0.0000 |
|      32 |     0.0000 |     0.0000 |
|      64 |     0.0000 |     0.0000 |
|     128 |     0.0000 |     0.0000 |
|     256 |     0.0000 |     0.0000 |
|     512 |     0.0000 |     0.0000 |
|    1024 |     0.0000 |     0.0000 |
|    2048 |     0.0000 |     1.0000 |
|    4096 |     0.0000 |     0.0000 |
|    8192 |     0.0000 |     1.0000 |
|   16384 |     1.0000 |     1.0000 |
|   32768 |     2.0000 |     2.0000 |
|   65536 |     6.0000 |     5.0000 |
|  131072 |    11.0000 |    11.0000 |